Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Eryngium maritimum;Xixon;Ery_mar_Xix;2022;5;5;166;194;100;208;42;229;327;173;285;95;362;NA
Erythronium dens-canis;Trondheim;Ery_den_Tro;2022;83;83;105;112;80;112;7;154;154;154;182;100;193;NA
Eupatorium cannabinum;Potsdam;Eup_can_Pot;2022;82;89;195;230;100;236;41;244;278;244;327;100;355;NA
Eupatorium cannabinum;Xixon;Eup_can_Xix;2022;201;201;201;215;100;236;35;222;285;166;334;100;362;NA
Eupatorium cannabinum;Leipzig;Eup_can_Lei;2022;NA;117;131;NA;208;NA;NA;222;208;250;285;NA;NA;NA
Eupatorium cannabinum;Halle;Eup_can_Hal;2022;95;95;174;187;85;187;13;204;294;181;259;50;294;NA
Eupatorium cannabinum;Frankfurt;Eup_can_Fra;2022;110;110;180;194;100;257;77;215;362;229;292;100;362;NA
Eupatorium cannabinum;Jena;Eup_can_Jen;2022;95;109;187;208;80;228;41;222;320;243;328;100;354;NA
Eupatorium cannabinum;Tuebingen;Eup_can_Tue;2022;117;117;181;209;95;209;28;209;299;209;285;95;299;NA
Eupatorium cannabinum;Berlin;Eup_can_Ber;2022;NA;109;200;208;70;228;28;214;270;193;270;60;270;NA
Euphorbia esula;Srinagar;Eup_esu_Sri;2022;67;74;95;102;100;123;28;151;207;151;276;100;276;NA
Euphorbia helioscopia;Srinagar;Eup_hel_Sri;2022;NA;NA;60;81;85;88;28;137;144;130;151;100;151;NA
Euphorbia lathyris;Srinagar;Eup_lat_Sri;2022;NA;74;95;109;70;123;28;144;283;151;283;100;283;NA
Eurybia sibirica;Trondheim;Eur_sib_Tro;2022;90;105;168;200;80;242;74;234;248;234;248;20;248;NA
Fagopyrum esculentum;Srinagar;Fag_esc_Sri;2022;NA;74;179;214;100;256;77;NA;NA;214;333;100;333;NA
Ficaria verna;Tuebingen;Fic_ver_Tue;2022;55;55;75;104;40;110;35;NA;NA;5;5;50;299;NA
Ficaria verna;Frankfurt;Fic_ver_Fra;2022;313;5;75;82;50;110;35;NA;NA;124;138;100;138;NA
Ficaria verna;Trondheim;Fic_ver_Tro;2022;62;62;119;140;95;147;28;175;175;168;182;100;193;NA
Ficaria verna;Potsdam;Fic_ver_Pot;2022;6;13;82;89;100;118;36;139;208;257;257;100;348;NA
Filipendula ulmaria;Trondheim;Fil_ulm_Tro;2022;105;112;193;206;90;227;34;234;242;227;248;20;248;NA
Filipendula vulgaris;Leipzig;Fil_vul_Lei;2022;NA;61;110;NA;152;NA;NA;173;166;229;278;NA;NA;NA
Filipendula vulgaris;Tuebingen;Fil_vul_Tue;2022;55;12;NA;NA;NA;NA;NA;168;299;243;5;75;355;NA
Filipendula vulgaris;Petrozavodsk;Fil_vul_Pet;2022;110;130;178;185;20;192;14;213;220;239;256;50;263;NA
Foeniculum vulgare;Srinagar;Foe_vul_Sri;2022;46;53;179;200;90;228;49;235;333;221;312;100;333;NA
Fragaria nubicola;Srinagar;Fra_nub_Sri;2022;39;46;95;102;80;123;28;151;172;151;207;95;207;NA
Fragaria vesca;Prague;Fra_ves_Pra;2022;55;62;118;125;10;139;21;160;167;167;202;20;328;NA
Fragaria vesca;Vienna;Fra_ves_Vie;2022;47;27;104;126;50;154;50;145;166;NA;NA;NA;NA;NA
Fragaria vesca;Trondheim;Fra_ves_Tro;2022;83;90;147;168;80;227;80;200;248;200;234;15;248;NA
Fragaria vesca;Jena;Fra_ves_Jen;2022;54;61;131;144;40;159;28;202;236;193;26;90;354;NA
Fragaria vesca;Berlin;Fra_ves_Ber;2022;40;88;124;137;70;166;42;166;187;159;305;50;305;NA
Fragaria vesca;Leipzig;Fra_ves_Lei;2022;NA;54;89;NA;131;NA;NA;NA;152;250;299;NA;NA;NA
Fragaria vesca;Halle;Fra_ves_Hal;2022;NA;11;67;81;100;223;156;174;174;287;319;50;355;NA
Fragaria vesca;Xixon;Fra_ves_Xix;2022;75;201;5;89;50;362;357;131;180;82;250;10;362;NA
Fragaria vesca;Petrozavodsk;Fra_ves_Pet;2022;110;118;154;157;20;171;17;192;213;256;287;30;302;NA
Fragaria vesca;Potsdam;Fra_ves_Pot;2022;26;33;133;139;100;160;27;152;181;160;348;100;355;NA
Fritillaria imperialis;Srinagar;Fri_imp_Sri;2022;39;46;74;81;85;88;14;NA;NA;88;102;100;102;NA
Fuchsia magellanica;Tuebingen;Fuc_mag_Tue;2022;96;104;194;262;95;335;141;299;341;321;5;100;355;NA
Fuchsia magellanica;Halle;Fuc_mag_Hal;2022;111;111;174;259;100;319;145;NA;NA;244;11;100;355;NA
Fuchsia magellanica;Frankfurt;Fuc_mag_Fra;2022;111;125;194;250;100;319;125;NA;NA;NA;NA;NA;NA;NA
Gagea lutea;Trondheim;Gag_lut_Tro;2022;62;62;105;105;25;126;21;140;147;133;168;100;175;NA
Galanthus ikariae;Halle;Gal_ika_Hal;2022;25;40;40;54;100;74;34;NA;NA;118;131;100;131;NA
Galanthus nivalis;Jena;Gal_niv_Jen;2022;5;12;34;47;95;68;34;152;158;117;137;100;306;NA
Galanthus nivalis;Berlin;Gal_niv_Ber;2022;305;4;34;54;100;74;40;124;137;116;137;80;137;NA
Galanthus nivalis;Prague;Gal_niv_Pra;2022;NA;NA;83;83;10;83;0;153;153;125;153;100;153;NA
Galanthus nivalis;Potsdam;Gal_niv_Pot;2022;26;33;33;55;100;75;42;152;160;124;139;100;348;NA
Galanthus nivalis;Leipzig;Gal_niv_Lei;2022;NA;NA;NA;NA;54;NA;NA;75;NA;117;124;NA;NA;NA
