Species;Botanic_Garden;Species_ID;Year;InitGr;LeafUnf;FlOn;FlPeak;FlMaxInt;FlEnd;FlDur;FrOn;FrEnd;SenOn;SenPeak;SenMaxInt;SenEnd;Remarks
Allium ursinum;Jena;All_urs_Jen;2022;54;75;109;131;90;137;28;144;193;137;208;100;228;NA
Allium ursinum;Berlin;All_urs_Ber;2022;18;46;124;131;100;137;13;166;166;152;152;70;152;NA
Allium ursinum;Prague;All_urs_Pra;2022;NA;83;125;132;100;139;14;153;174;160;195;95;265;NA
Allium ursinum;Potsdam;All_urs_Pot;2022;49;55;124;133;100;139;15;166;195;160;195;100;355;NA
Allium ursinum;Halle;All_urs_Hal;2022;40;40;111;124;100;139;28;163;187;153;208;100;208;NA
Allium ursinum;Leipzig;All_urs_Lei;2022;NA;61;75;110;131;NA;NA;145;145;159;166;NA;NA;NA
Allium victorialis;Tuebingen;All_vic_Tue;2022;55;12;132;138;70;138;6;173;230;194;243;10;243;NA
Allium victorialis;Trondheim;All_vic_Tro;2022;69;105;168;175;10;175;7;193;234;193;248;30;248;NA
Allium victorialis;Jena;All_vic_Jen;2022;61;103;152;152;90;158;6;201;272;221;292;100;354;NA
Allium victorialis;Halle;All_vic_Hal;2022;89;89;145;145;100;153;8;193;236;153;11;100;294;NA
Allium victorialis;Berlin;All_vic_Ber;2022;46;74;137;137;70;144;7;187;249;159;228;80;249;NA
Althaea officinalis;Frankfurt;Alt_off_Fra;2022;110;117;180;208;30;250;70;257;362;236;299;100;362;NA
Althaea officinalis;Trondheim;Alt_off_Tro;2022;133;133;227;242;50;248;21;NA;NA;NA;NA;NA;NA;NA
Althaea officinalis;Halle;Alt_off_Hal;2022;11;46;193;208;30;278;85;259;298;193;355;100;355;NA
Althaea officinalis;Xixon;Alt_off_Xix;2022;82;89;173;187;100;222;49;208;362;159;348;100;348;NA
Althaea officinalis;Prague;Alt_off_Pra;2022;76;111;181;188;40;258;77;230;279;244;244;60;279;NA
Althaea officinalis;Potsdam;Alt_off_Pot;2022;61;75;181;195;100;236;55;236;271;230;285;100;355;NA
Althaea officinalis;Berlin;Alt_off_Ber;2022;88;95;179;193;100;228;49;228;298;172;256;55;256;NA
Althaea officinalis;Jena;Alt_off_Jen;2022;124;131;187;215;55;228;41;236;341;222;314;100;354;NA
Amorpha canescens;Halle;Amo_can_Hal;2022;124;131;166;187;100;187;21;216;269;174;294;100;294;NA
Amorpha canescens;Vienna;Amo_can_Vie;2022;104;126;160;166;25;187;27;187;361;160;306;100;306;NA
Anemone hepatica;Jena;Ane_hep_Jen;2022;12;103;61;82;80;124;63;131;144;173;26;40;354;NA
Anemone hepatica;Vienna;Ane_hep_Vie;2022;5;60;41;76;95;104;63;118;139;215;5;95;361;NA
Anemone hepatica;Berlin;Ane_hep_Ber;2022;NA;103;74;81;80;109;35;131;137;NA;NA;NA;NA;NA
Anemone hepatica;Prague;Ane_hep_Pra;2022;55;83;62;83;80;111;49;139;139;125;153;20;328;NA
Anemone hepatica;Frankfurt;Ane_hep_Fra;2022;96;96;75;82;20;103;28;103;154;12;40;50;89;NA
Anemone hepatica;Potsdam;Ane_hep_Pot;2022;49;75;75;89;100;133;58;152;166;187;26;95;355;NA
Anemone hepatica;Tuebingen;Ane_hep_Tue;2022;117;68;55;68;55;96;41;NA;NA;279;5;25;341;NA
Anemone hepatica;Trondheim;Ane_hep_Tro;2022;90;105;105;105;50;119;14;NA;NA;126;212;80;255;NA
Anemone hupehensis;Leipzig;Ane_hup_Lei;2022;NA;NA;117;NA;201;NA;NA;NA;271;264;NA;NA;NA;NA
Anemone hupehensis;Frankfurt;Ane_hup_Fra;2022;NA;47;194;223;60;250;56;278;350;334;340;100;350;NA
Anemone hupehensis;Halle;Ane_hup_Hal;2022;19;19;181;204;95;230;49;306;355;216;355;100;355;NA
Anemone hupehensis;Potsdam;Ane_hup_Pot;2022;33;49;221;244;100;292;71;306;306;201;334;100;355;NA
Anemone nemorosa;Prague;Ane_nem_Pra;2022;NA;125;83;97;100;125;42;132;153;139;202;100;202;NA
Anemone nemorosa;Potsdam;Ane_nem_Pot;2022;68;75;82;89;100;118;36;133;160;133;195;100;355;NA
Anemone nemorosa;Halle;Ane_nem_Hal;2022;54;54;74;89;100;111;37;145;153;145;230;100;230;NA
Anemone nemorosa;Jena;Ane_nem_Jen;2022;75;82;88;109;100;124;36;137;159;144;208;100;354;NA
Anemone nemorosa;Frankfurt;Ane_nem_Fra;2022;54;54;82;82;100;103;21;125;131;131;152;100;152;NA
Anemone nemorosa;Vienna;Ane_nem_Vie;2022;20;62;83;89;90;116;33;116;145;159;216;100;216;NA
Anemone nemorosa;Tuebingen;Ane_nem_Tue;2022;47;47;75;90;100;110;35;117;145;132;159;100;173;NA
Anemone nemorosa;Berlin;Ane_nem_Ber;2022;60;68;81;109;100;124;43;NA;NA;137;137;50;137;NA
Anemone nemorosa;Trondheim;Ane_nem_Tro;2022;105;105;119;126;75;140;21;147;175;147;182;100;200;NA
Anemone nemorosa;Leipzig;Ane_nem_Lei;2022;NA;NA;89;NA;110;NA;NA;138;131;145;159;NA;NA;NA
Pulsatilla vulgaris;Leipzig;Pul_vul_Lei;2022;NA;75;NA;NA;110;NA;NA;131;145;229;243;NA;NA;NA
Anemone sylvestris;Vienna;Ane_syl_Vie;2022;54;69;111;126;95;132;21;154;335;132;361;100;361;NA
Anemone sylvestris;Prague;Ane_syl_Pra;2022;62;83;118;132;80;132;14;167;230;188;328;40;328;NA
Anemone sylvestris;Berlin;Ane_syl_Ber;2022;34;60;124;131;60;137;13;179;221;187;263;70;277;NA
Anemone sylvestris;Halle;Ane_syl_Hal;2022;67;67;118;124;80;193;75;163;174;163;11;100;355;NA
Anemone sylvestris;Potsdam;Ane_syl_Pot;2022;68;82;110;124;100;285;175;166;187;166;320;100;355;NA
Anemone sylvestris;Jena;Ane_syl_Jen;2022;12;19;12;12;100;299;287;82;179;34;75;100;354;NA
Anemone sylvestris;Frankfurt;Ane_syl_Fra;2022;61;89;117;124;100;131;14;159;166;194;341;100;341;NA
Anemone sylvestris;Leipzig;Ane_syl_Lei;2022;NA;54;103;NA;138;NA;NA;159;152;250;278;NA;NA;NA
Anemone transsilvanica;Leipzig;Ane_tra_Lei;2022;NA;54;96;NA;68;NA;NA;89;NA;194;208;NA;NA;NA
Anemone transsilvanica;Halle;Ane_tra_Hal;2022;NA;118;89;89;5;103;14;131;131;131;339;25;355;NA
Angelica archangelica;Halle;Ang_arc_Hal;2022;11;19;131;131;70;145;14;174;187;89;187;100;187;NA
Angelica archangelica;Trondheim;Ang_arc_Tro;2022;105;105;168;175;90;175;7;206;212;154;212;70;212;NA
Angelica archangelica;Berlin;Ang_arc_Ber;2022;34;4;159;166;90;172;13;200;236;166;187;70;236;NA
Angelica archangelica;Jena;Ang_arc_Jen;2022;54;54;NA;NA;NA;NA;NA;NA;NA;166;354;100;354;NA
Antennaria dioica;Frankfurt;Ant_dio_Fra;2022;68;68;110;124;75;124;14;138;152;292;5;75;363;NA
Antennaria dioica;Jena;Ant_dio_Jen;2022;68;117;131;137;100;152;21;166;187;292;12;80;354;NA
Anthericum liliago;Vienna;Ant_lil_Vie;2022;69;89;131;137;50;154;23;187;221;180;298;100;298;NA
Anthericum liliago;Prague;Ant_lil_Pra;2022;69;83;125;139;70;153;28;160;265;181;279;100;300;NA
Anthericum ramosum;Potsdam;Ant_ram_Pot;2022;97;110;174;187;100;201;27;NA;NA;257;314;100;355;NA
Anthericum ramosum;Leipzig;Ant_ram_Lei;2022;NA;82;124;NA;180;NA;NA;208;187;250;NA;NA;NA;NA
Anthericum ramosum;Vienna;Ant_ram_Vie;2022;69;96;174;180;25;194;20;227;313;213;307;100;307;NA
Anthoxanthum odoratum;Vienna;Ant_odo_Vie;2022;5;20;126;132;75;187;61;154;215;154;5;75;361;NA
Anthoxanthum odoratum;Tuebingen;Ant_odo_Tue;2022;12;12;124;138;80;159;35;117;230;209;5;95;355;NA
Anthoxanthum odoratum;Potsdam;Ant_odo_Pot;2022;41;49;118;139;100;166;48;187;221;166;230;100;355;NA
Anthoxanthum odoratum;Prague;Ant_odo_Pra;2022;48;55;118;132;80;153;35;160;181;153;181;60;328;NA
Anthriscus sylvestris;Trondheim;Ant_syl_Tro;2022;62;62;147;161;70;175;28;200;212;193;212;60;212;NA
Aquilegia chrysantha;Leipzig;Aqu_chr_Lei;2022;NA;NA;82;124;138;NA;NA;222;166;236;264;NA;NA;NA
Aquilegia vulgaris;Srinagar;Aqu_vul_Sri;2022;32;39;95;102;60;123;28;144;193;158;326;100;326;NA
Aquilegia vulgaris;Vienna;Aqu_vul_Vie;2022;5;54;126;132;75;174;48;160;279;126;329;95;335;NA
Aquilegia vulgaris;Petrozavodsk;Aqu_vul_Pet;2022;124;130;178;178;5;192;14;220;227;280;302;70;302;NA
Aquilegia vulgaris;Potsdam;Aqu_vul_Pot;2022;55;82;133;139;100;166;33;NA;NA;174;341;95;355;NA
Aquilegia vulgaris;Prague;Aqu_vul_Pra;2022;48;62;132;139;90;167;35;174;328;174;217;60;328;NA
Aquilegia vulgaris;Halle;Aqu_vul_Hal;2022;19;19;124;139;100;166;42;163;230;163;11;100;355;NA
Aquilegia vulgaris;Jena;Aqu_vul_Jen;2022;34;40;131;144;50;166;35;173;243;144;354;100;354;NA
Aquilegia vulgaris;Xixon;Aqu_vul_Xix;2022;229;229;117;124;100;138;21;166;257;194;355;25;362;NA
Aquilegia vulgaris;Berlin;Aqu_vul_Ber;2022;46;54;131;137;90;159;28;172;200;159;187;75;228;NA
Aquilegia vulgaris;Trondheim;Aqu_vul_Tro;2022;90;90;161;175;100;193;32;NA;NA;193;234;25;248;NA
Aralia cachemirica;Srinagar;Ara_cac_Sri;2022;74;102;158;186;90;228;70;235;270;221;312;100;312;NA
Aralia californica;Vienna;Ara_cal_Vie;2022;118;126;187;187;60;208;21;215;361;208;321;100;321;NA
Arctium lappa;Srinagar;Arc_lap_Sri;2022;60;67;165;207;100;235;70;249;361;214;256;100;361;NA
Arctostaphylos uva-ursi;Tuebingen;Arc_uva_Tue;2022;NA;55;104;104;5;104;0;194;355;NA;NA;NA;NA;NA
Arctostaphylos uva-ursi;Jena;Arc_uva_Jen;2022;137;109;NA;NA;NA;NA;NA;NA;NA;243;5;80;354;NA
Arctostaphylos uva-ursi;Berlin;Arc_uva_Ber;2022;NA;116;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Armoracia rusticana;Frankfurt;Arm_rus_Fra;2022;68;75;NA;NA;NA;NA;NA;NA;NA;187;327;100;327;NA
Armoracia rusticana;Berlin;Arm_rus_Ber;2022;60;88;137;144;90;152;15;NA;NA;159;298;90;298;NA
Armoracia rusticana;Potsdam;Arm_rus_Pot;2022;82;89;NA;NA;NA;NA;NA;NA;NA;250;334;100;355;NA
Armoracia rusticana;Halle;Arm_rus_Hal;2022;19;61;NA;NA;NA;NA;NA;NA;NA;181;326;100;326;NA
Armoracia rusticana;Jena;Arm_rus_Jen;2022;54;82;137;144;90;173;36;201;228;179;5;100;354;NA
Armoracia rusticana;Trondheim;Arm_rus_Tro;2022;83;90;161;168;30;227;66;NA;NA;234;248;10;248;NA
Arnebia benthamii;Srinagar;Arn_ben_Sri;2022;74;81;95;102;90;123;28;137;283;172;354;100;354;NA
Arnica longifolia;Leipzig;Arn_lon_Lei;2022;NA;103;124;NA;173;NA;NA;NA;187;243;264;NA;NA;NA
Arnica chamissonis;Berlin;Arn_cha_Ber;2022;54;81;144;172;100;319;175;166;319;172;319;95;319;NA
Arnica longifolia;Jena;Arn_lon_Jen;2022;96;103;152;159;50;208;56;173;250;173;228;100;354;NA
Arnica longifolia;Potsdam;Arn_lon_Pot;2022;89;97;208;236;50;250;42;250;257;230;306;100;355;NA
Arrhenatherum elatius;Potsdam;Arr_ela_Pot;2022;41;49;139;144;100;160;21;166;221;166;6;100;355;NA
Arrhenatherum elatius;Halle;Arr_ela_Hal;2022;NA;11;145;145;100;153;8;181;269;181;11;85;355;NA
Artemisia absinthium;Potsdam;Art_abs_Pot;2022;33;41;221;230;100;244;23;NA;NA;230;348;100;348;NA
Artemisia absinthium;Srinagar;Art_abs_Sri;2022;39;39;151;165;85;214;63;221;326;214;340;100;340;NA
Artemisia absinthium;Berlin;Art_abs_Ber;2022;NA;46;208;214;80;228;20;270;312;179;319;70;334;NA
Artemisia absinthium;Frankfurt;Art_abs_Fra;2022;47;47;236;236;5;236;0;243;292;243;327;95;341;NA
Artemisia absinthium;Halle;Art_abs_Hal;2022;NA;11;204;223;100;244;40;NA;NA;208;312;95;355;NA
Artemisia absinthium;Jena;Art_abs_Jen;2022;47;54;208;215;90;236;28;327;354;152;5;95;354;NA
Artemisia absinthium;Trondheim;Art_abs_Tro;2022;105;83;200;220;80;248;48;NA;NA;NA;NA;NA;NA;NA
Artemisia amygdalina;Srinagar;Art_amy_Sri;2022;67;74;151;179;90;228;77;NA;NA;214;312;100;312;NA
Arum italicum;Potsdam;Aru_ita_Pot;2022;244;6;124;139;100;139;15;201;292;152;181;100;201;NA
Arum italicum;Xixon;Aru_ita_Xix;2022;5;5;131;131;100;159;28;194;194;12;40;25;180;NA
Arum italicum;Frankfurt;Aru_ita_Fra;2022;257;5;131;131;70;230;99;180;243;152;201;100;250;NA
Arum italicum;Vienna;Aru_ita_Vie;2022;5;5;145;145;100;145;0;NA;NA;132;145;95;145;NA
Arum italicum;Jena;Aru_ita_Jen;2022;5;5;NA;NA;NA;NA;NA;NA;NA;144;173;100;306;NA
Arum italicum;Halle;Aru_ita_Hal;2022;11;33;139;139;100;139;0;NA;NA;153;174;100;174;NA
Arum italicum;Tuebingen;Aru_ita_Tue;2022;5;5;138;138;25;138;0;159;209;75;181;100;230;NA
Arum maculatum;Berlin;Aru_mac_Ber;2022;298;46;124;124;30;131;7;193;277;137;159;100;193;NA
Arum maculatum;Prague;Aru_mac_Pra;2022;NA;83;132;132;80;132;0;188;244;153;181;80;237;NA
Arum maculatum;Frankfurt;Aru_mac_Fra;2022;5;54;110;117;100;125;15;201;215;138;145;100;152;NA
Arum maculatum;Halle;Aru_mac_Hal;2022;11;19;124;124;100;124;0;193;216;131;216;100;216;NA
Arum maculatum;Vienna;Aru_mac_Vie;2022;41;54;132;132;50;132;0;NA;NA;126;139;100;139;NA
Arum maculatum;Potsdam;Aru_mac_Pot;2022;26;41;124;124;100;124;0;195;292;152;174;100;201;NA
Arum maculatum;Leipzig;Aru_mac_Lei;2022;NA;75;96;NA;NA;NA;NA;NA;NA;145;152;NA;NA;NA
Arundo donax;Srinagar;Aru_don_Sri;2022;67;81;207;228;100;270;63;283;354;228;340;100;354;NA
Asarum canadense;Leipzig;Asa_can_Lei;2022;NA;89;131;NA;145;NA;NA;173;NA;278;54;NA;NA;NA
Asarum canadense;Potsdam;Asa_can_Pot;2022;6;26;NA;NA;NA;NA;NA;NA;NA;271;327;70;355;NA
Asarum europaeum;Petrozavodsk;Asa_eur_Pet;2022;NA;130;130;136;10;142;12;199;199;NA;NA;NA;NA;NA
Asarum europaeum;Potsdam;Asa_eur_Pot;2022;6;26;NA;NA;NA;NA;NA;152;166;230;6;70;355;NA
Asarum europaeum;Tuebingen;Asa_eur_Tue;2022;55;96;NA;NA;NA;NA;NA;NA;NA;27;55;100;355;NA
Asarum europaeum;Leipzig;Asa_eur_Lei;2022;NA;89;117;NA;NA;NA;NA;NA;NA;250;NA;NA;NA;NA
Asarum europaeum;Frankfurt;Asa_eur_Fra;2022;33;54;75;103;100;103;28;145;152;194;278;25;306;NA
Asarum europaeum;Halle;Asa_eur_Hal;2022;89;89;89;89;100;118;29;NA;NA;NA;NA;NA;NA;NA
Asarum europaeum;Berlin;Asa_eur_Ber;2022;34;88;103;103;100;103;0;131;152;187;187;20;200;NA
Asarum europaeum;Jena;Asa_eur_Jen;2022;54;103;103;111;55;124;21;NA;NA;243;34;100;342;NA
Asarum europaeum;Vienna;Asa_eur_Vie;2022;47;89;95;111;100;145;50;NA;NA;208;76;100;279;NA
Asphodeline lutea;Vienna;Asp_lut_Vie;2022;NA;69;137;137;50;145;8;180;257;NA;187;100;334;NA
Asphodelus albus;Jena;Asp_alb_Jen;2022;12;103;137;144;50;152;15;187;299;166;272;100;354;NA
Asphodelus albus;Xixon;Asp_alb_Xix;2022;5;5;75;89;100;117;42;117;187;124;166;100;180;NA
Asphodelus albus;Halle;Asp_alb_Hal;2022;61;67;131;131;10;131;0;187;193;153;193;100;193;NA
Asphodelus albus;Frankfurt;Asp_alb_Fra;2022;40;69;NA;NA;NA;NA;NA;NA;NA;175;175;100;188;NA
Asphodelus albus;Berlin;Asp_alb_Ber;2022;18;81;131;144;80;152;21;179;228;159;200;100;228;NA
Aster thomsonii;Srinagar;Ast_tho_Sri;2022;67;74;144;158;100;214;70;256;333;214;340;100;340;NA
Astilboides tabularis;Trondheim;Ast_tab_Tro;2022;119;126;168;193;80;220;52;234;248;206;248;25;248;NA
Atropa acuminata;Srinagar;Atr_acu_Sri;2022;53;67;109;123;85;151;42;179;276;165;276;95;276;NA
Atropa belladonna;Berlin;Atr_bel_Ber;2022;40;109;137;166;100;277;140;187;319;159;319;80;319;NA
Atropa belladonna;Halle;Atr_bel_Hal;2022;81;81;139;145;60;208;69;204;244;174;312;100;312;NA
Atropa belladonna;Frankfurt;Atr_bel_Fra;2022;NA;96;139;139;25;236;97;180;341;264;327;95;341;NA
Aurinia saxatilis;Vienna;Aur_sax_Vie;2022;NA;33;102;109;50;136;34;150;255;158;5;75;361;NA
Aurinia saxatilis;Halle;Aur_sax_Hal;2022;NA;11;89;124;100;145;56;163;204;174;355;85;355;NA
Aurinia saxatilis;Prague;Aur_sax_Pra;2022;62;69;83;125;90;132;49;153;174;153;174;30;328;NA
Begonia grandis;Vienna;Beg_gra_Vie;2022;132;139;208;242;90;258;50;300;361;208;300;100;300;NA
Bellis perennis;Srinagar;Bel_per_Sri;2022;NA;4;11;39;100;361;350;221;221;109;158;100;361;NA
Bergenia ciliata;Srinagar;Ber_cil_Sri;2022;53;60;60;74;100;88;28;123;144;200;326;100;326;NA
Bergenia crassifolia;Petrozavodsk;Ber_cra_Pet;2022;130;136;147;157;25;164;17;192;192;256;256;5;302;NA
Bergenia purpurascens;Leipzig;Ber_pur_Lei;2022;NA;NA;NA;NA;96;NA;NA;159;131;243;54;NA;NA;NA
Bergenia purpurascens;Berlin;Ber_pur_Ber;2022;NA;109;131;131;70;144;13;NA;NA;159;159;20;179;NA
Bergenia purpurascens;Jena;Ber_pur_Jen;2022;75;103;95;111;70;137;42;166;187;173;5;100;354;NA
Bistorta amplexicaulis;Srinagar;Bis_amp_Sri;2022;67;74;158;179;85;221;63;290;319;221;333;100;333;NA
Bistorta officinalis;Berlin;Bis_off_Ber;2022;26;54;137;152;100;291;154;159;291;159;277;65;298;NA
Bistorta officinalis;Vienna;Bis_off_Vie;2022;41;54;NA;NA;NA;NA;NA;215;215;76;329;95;329;NA
Bistorta officinalis;Jena;Bis_off_Jen;2022;82;88;144;144;100;228;84;166;202;173;354;100;354;NA
Bistorta officinalis;Halle;Bis_off_Hal;2022;11;61;118;131;100;145;27;163;166;174;355;100;355;NA
Bistorta officinalis;Frankfurt;Bis_off_Fra;2022;NA;55;138;145;70;159;21;166;195;145;174;100;341;NA
Bromus erectus;Halle;Bro_ere_Hal;2022;NA;11;145;145;100;166;21;174;223;NA;NA;NA;NA;NA
Bromus erectus;Potsdam;Bro_ere_Pot;2022;41;49;139;144;100;160;21;166;221;166;20;90;355;NA
Brunnera macrophylla;Potsdam;Bru_mac_Pot;2022;68;75;103;124;100;152;49;160;174;160;327;100;355;NA
Brunnera macrophylla;Vienna;Bru_mac_Vie;2022;41;60;76;104;95;139;63;126;166;132;5;100;361;NA
Brunnera macrophylla;Halle;Bru_mac_Hal;2022;61;61;139;145;40;153;14;NA;NA;181;355;100;355;NA
Brunnera macrophylla;Berlin;Bru_mac_Ber;2022;40;54;88;95;80;144;56;159;172;166;312;60;312;NA
Brunnera macrophylla;Jena;Bru_mac_Jen;2022;61;75;103;117;80;152;49;173;208;159;354;100;354;NA
Bunias orientalis;Leipzig;Bun_ori_Lei;2022;NA;NA;96;NA;152;NA;NA;166;NA;250;285;NA;NA;NA
Bunias orientalis;Berlin;Bun_ori_Ber;2022;NA;26;131;144;70;159;28;200;291;159;334;60;334;NA
Bunias orientalis;Halle;Bun_ori_Hal;2022;33;25;131;139;75;153;22;187;208;163;216;80;355;NA
Bunias orientalis;Jena;Bun_ori_Jen;2022;5;12;137;144;70;193;56;201;299;201;5;100;354;NA
Buphthalmum salicifolium;Frankfurt;Bup_sal_Fra;2022;12;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Buphthalmum salicifolium;Vienna;Bup_sal_Vie;2022;215;47;160;187;60;208;48;215;361;145;293;100;306;NA
Buphthalmum salicifolium;Berlin;Bup_sal_Ber;2022;46;54;159;172;100;236;77;208;221;172;277;50;277;NA
Cakile maritima;Halle;Cak_mar_Hal;2022;19;19;NA;NA;NA;NA;NA;NA;NA;40;54;30;54;NA
Cakile maritima;Berlin;Cak_mar_Ber;2022;NA;131;179;187;90;256;77;208;256;193;236;90;256;NA
Calendula officinalis;Srinagar;Cal_off_Sri;2022;NA;NA;18;60;90;95;77;151;158;137;165;100;165;NA
Calla palustris;Jena;Call_palu_Jen;2022;88;124;137;144;100;215;78;243;250;152;173;30;250;NA
Calla palustris;Frankfurt;Call_palu_Fra;2022;47;47;187;230;80;237;50;194;278;223;319;100;350;NA
Calla palustris;Vienna;Call_palu_Vie;2022;54;76;132;145;75;230;98;215;321;160;293;100;361;NA
Calla palustris;Halle;Call_palu_Hal;2022;67;81;174;187;30;208;34;223;223;174;319;100;319;NA
Calluna vulgaris;Potsdam;Cal_vul_Pot;2022;33;41;195;208;100;278;83;NA;NA;264;6;30;355;NA
Calluna vulgaris;Frankfurt;Cal_vul_Fra;2022;124;19;215;222;50;278;63;285;362;96;96;50;362;NA
Calluna vulgaris;Xixon;Cal_vul_Xix;2022;5;5;236;257;100;285;49;327;362;NA;12;50;362;NA
Calluna vulgaris;Petrozavodsk;Cal_vul_Pet;2022;130;136;199;213;25;247;48;296;302;NA;NA;NA;NA;NA
Calluna vulgaris;Tuebingen;Cal_vul_Tue;2022;68;5;159;159;20;262;103;173;355;262;5;50;355;NA
Caltha palustris;Frankfurt;Calt_palu_Fra;2022;13;48;90;111;40;301;211;138;138;NA;NA;NA;NA;NA
Caltha palustris;Vienna;Calt_palu_Vie;2022;361;5;89;111;75;126;37;139;166;132;300;95;335;NA
Caltha palustris;Halle;Calt_palu_Hal;2022;11;25;111;118;100;131;20;163;298;46;287;95;355;NA
Caltha palustris;Tuebingen;Calt_palu_Tue;2022;55;5;96;110;100;292;196;132;262;61;314;100;355;NA
Caltha palustris;Potsdam;Calt_palu_Pot;2022;6;13;110;118;100;139;29;152;174;174;327;100;334;NA
Caltha palustris;Berlin;Calt_palu_Ber;2022;NA;40;103;116;100;159;56;166;187;159;298;95;298;NA
Caltha palustris;Prague;Calt_palu_Pra;2022;62;83;132;139;70;146;14;181;195;217;300;100;300;NA
Caltha palustris;Leipzig;Calt_palu_Lei;2022;NA;NA;89;NA;124;NA;NA;138;145;229;278;NA;NA;NA
Camassia cusickii;Jena;Cam_cus_Jen;2022;34;61;131;137;50;137;6;173;173;159;187;100;342;NA
Camassia cusickii;Halle;Cam_cus_Hal;2022;19;46;118;124;80;139;21;181;187;145;187;100;187;NA
Campanula alliariifolia;Petrozavodsk;Cam_all_Pet;2022;124;130;192;199;10;247;55;256;273;256;302;80;302;NA
Campanula rotundifolia;Jena;Cam_rot_Jen;2022;75;82;152;152;50;272;120;202;306;180;5;100;354;NA
Campanula rotundifolia;Berlin;Cam_rot_Ber;2022;NA;60;159;208;100;341;182;193;221;179;298;40;341;NA
Campanula rotundifolia;Halle;Cam_rot_Hal;2022;54;61;181;204;60;319;138;216;278;174;11;100;355;NA
Cardamine bulbifera;Vienna;Car_bul_Vie;2022;76;76;110;116;75;126;16;159;180;133;202;100;202;NA
Cardamine bulbifera;Prague;Car_bul_Pra;2022;55;69;104;118;70;125;21;167;174;160;188;100;202;NA
Cardamine bulbifera;Frankfurt;Car_bul_Fra;2022;NA;75;117;117;90;124;7;NA;NA;153;174;100;195;NA
Carex sylvatica;Halle;Car_syl_Hal;2022;118;118;NA;NA;NA;NA;NA;NA;NA;259;40;100;339;NA
Carex sylvatica;Xixon;Car_syl_Xix;2022;110;110;75;124;100;152;77;166;222;82;215;75;362;NA
Centaurea cineraria;Leipzig;Cen_cin_Lei;2022;NA;61;117;NA;152;NA;NA;NA;166;229;250;NA;NA;NA
Centaurea jacea;Jena;Cen_jac_Jen;2022;40;19;187;202;50;320;133;215;341;187;5;80;354;NA
Centaurea scabiosa;Trondheim;Cen_sca_Tro;2022;90;105;193;200;50;242;49;234;234;242;242;5;242;NA
Centaurea scabiosa;Jena;Cen_sca_Jen;2022;40;54;159;187;55;222;63;208;215;187;40;100;354;NA
Centaurea scabiosa;Prague;Cen_sca_Pra;2022;83;90;195;195;40;244;49;217;328;258;314;50;328;NA
Centranthus ruber;Xixon;Cen_rub_Xix;2022;229;229;103;124;100;362;259;173;236;159;243;95;362;NA
Centranthus ruber;Tuebingen;Cen_rub_Tue;2022;5;27;132;159;100;314;182;181;230;262;299;30;314;NA
Centranthus ruber;Halle;Cen_rub_Hal;2022;11;11;118;181;65;319;201;216;298;216;355;95;355;NA
Centranthus ruber;Jena;Cen_rub_Jen;2022;34;5;137;144;90;236;99;186;258;193;354;100;354;NA
Chelidonium majus;Trondheim;Che_maj_Tro;2022;105;90;147;154;50;234;87;193;234;154;234;40;234;NA
Chelidonium majus;Berlin;Che_maj_Ber;2022;NA;26;124;144;100;270;146;166;228;159;200;100;228;NA
Chelidonium majus;Vienna;Che_maj_Vie;2022;41;14;126;126;5;139;13;145;166;20;208;100;329;NA
Chelidonium majus;Halle;Che_maj_Hal;2022;74;11;124;124;80;278;154;163;244;131;208;40;355;NA
Chelidonium majus;Potsdam;Che_maj_Pot;2022;6;13;118;133;70;264;146;166;208;208;355;90;355;NA
Chelidonium majus;Jena;Che_maj_Jen;2022;12;5;117;131;30;193;76;144;214;131;5;100;354;NA
Chrysanthemum morifolium_x;Srinagar;Chr_mor_Sri;2022;46;53;283;305;100;347;64;361;361;256;361;90;361;NA
Circaea lutetiana;Vienna;Cir_lut_Vie;2022;62;96;159;174;50;243;84;188;320;180;307;100;307;NA
Circaea lutetiana;Xixon;Cir_lut_Xix;2022;117;117;173;187;100;208;35;215;264;201;250;100;264;NA
Clematis alpina;Trondheim;Cle_alp_Tro;2022;105;126;154;161;100;175;21;NA;NA;242;248;10;248;NA
Clematis integrifolia;Halle;Cle_int_Hal;2022;61;89;139;153;90;216;77;174;298;208;306;100;306;NA
Clematis integrifolia;Prague;Cle_int_Pra;2022;69;111;153;153;50;217;64;272;272;258;314;100;314;NA
Clematis integrifolia;Vienna;Cle_int_Vie;2022;60;89;145;145;50;187;42;208;300;154;361;100;361;NA
Clematis recta;Petrozavodsk;Cle_rec_Pet;2022;147;154;185;192;10;247;62;NA;NA;NA;NA;NA;NA;NA
Clematis recta;Potsdam;Cle_rec_Pot;2022;75;82;152;152;100;292;140;221;278;250;355;80;355;NA
Clematis recta;Frankfurt;Cle_rec_Fra;2022;33;95;159;165;70;172;13;250;341;264;6;100;355;NA
Clematis recta;Berlin;Cle_rec_Ber;2022;NA;95;159;172;80;187;28;228;319;214;319;90;319;NA
Clematis recta;Vienna;Cle_rec_Vie;2022;95;109;143;150;75;158;15;206;304;199;304;100;304;NA
